epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.302,1.06555,2.35886,0.82465,0.94767,0.95751,0.95453,0.47827,1.66416,0.82663,0.84922,0.00332918,0.00332918,0.00332918
2,473.997,0.94781,0.57065,0.81403,0.94447,0.90865,0.9659,0.6083,1.32407,0.67921,0.84152,0.00664052,0.00664052,0.00664052
3,707.89,0.91561,0.48665,0.81184,0.95961,0.95167,0.97217,0.598,1.28873,0.68502,0.83645,0.00992987,0.00992987,0.00992987
4,941.382,0.82177,0.43803,0.80501,0.96126,0.98049,0.98343,0.68833,1.13629,0.52139,0.82314,0.009901,0.009901,0.009901
5,1175.29,0.74373,0.39765,0.79687,0.9586,0.97891,0.98091,0.67559,1.15482,0.52261,0.81968,0.009868,0.009868,0.009868
6,1408.55,0.69622,0.375,0.79224,0.9655,0.98428,0.98709,0.73662,0.98457,0.45005,0.81213,0.009835,0.009835,0.009835
7,1642.55,0.67418,0.36199,0.78996,0.96485,0.98417,0.98652,0.71269,1.06616,0.48112,0.80804,0.009802,0.009802,0.009802
8,1877.26,0.65334,0.35234,0.78769,0.96262,0.98237,0.98753,0.68284,1.21782,0.50215,0.81292,0.009769,0.009769,0.009769
9,2111.19,0.63594,0.34287,0.78702,0.96989,0.98215,0.98782,0.74081,0.99523,0.44839,0.80378,0.009736,0.009736,0.009736
10,2344.56,0.62242,0.33539,0.78537,0.97014,0.98205,0.989,0.69757,1.16332,0.47802,0.8099,0.009703,0.009703,0.009703
11,2580.18,0.60634,0.3285,0.7847,0.97086,0.9795,0.98852,0.7249,1.05788,0.44935,0.80584,0.00967,0.00967,0.00967
12,2816.33,0.59906,0.3234,0.78326,0.96975,0.98332,0.98831,0.68784,1.19788,0.49053,0.81221,0.009637,0.009637,0.009637
13,3053.16,0.58529,0.31713,0.78267,0.96997,0.98375,0.98901,0.70149,1.13451,0.46455,0.80705,0.009604,0.009604,0.009604
14,3288.93,0.5719,0.31228,0.78096,0.96955,0.98433,0.98884,0.72777,1.02855,0.43291,0.802,0.009571,0.009571,0.009571
15,3524.85,0.56198,0.30756,0.78057,0.97015,0.98438,0.98923,0.73933,0.9931,0.4249,0.80038,0.009538,0.009538,0.009538
16,3761.21,0.55672,0.30261,0.78149,0.96956,0.98447,0.98885,0.74203,0.98573,0.4205,0.80004,0.009505,0.009505,0.009505
17,3997.31,0.54487,0.29794,0.77985,0.96968,0.98504,0.98902,0.75541,0.93807,0.40279,0.79851,0.009472,0.009472,0.009472
18,4234.44,0.53014,0.29129,0.77945,0.97146,0.98347,0.98911,0.76029,0.92405,0.39713,0.7976,0.009439,0.009439,0.009439
19,4478.31,0.52559,0.28772,0.77851,0.97162,0.98322,0.98921,0.75923,0.93306,0.39816,0.79735,0.009406,0.009406,0.009406
20,4722.31,0.51631,0.28311,0.77742,0.97311,0.98237,0.98939,0.75915,0.93402,0.39815,0.79726,0.009373,0.009373,0.009373
21,4964.9,0.51016,0.27967,0.77793,0.97366,0.98176,0.98952,0.76395,0.91801,0.39497,0.79672,0.00934,0.00934,0.00934
22,5203.52,0.49967,0.27561,0.77579,0.97408,0.98218,0.98949,0.76427,0.92012,0.39506,0.79704,0.009307,0.009307,0.009307
23,5444.81,0.49389,0.27116,0.77638,0.97391,0.98237,0.98944,0.76405,0.91848,0.39379,0.79683,0.009274,0.009274,0.009274
24,5683.34,0.48773,0.26862,0.77593,0.97409,0.98256,0.98943,0.76505,0.91592,0.39257,0.79656,0.009241,0.009241,0.009241
25,5922.39,0.47733,0.26415,0.77453,0.9756,0.98127,0.98944,0.76502,0.91652,0.39316,0.79659,0.009208,0.009208,0.009208
26,6161.98,0.47508,0.26251,0.77535,0.97546,0.9812,0.98953,0.7647,0.91503,0.39146,0.79637,0.009175,0.009175,0.009175
27,6400.54,0.4673,0.25934,0.77458,0.97581,0.98137,0.98957,0.7651,0.91456,0.39067,0.79646,0.009142,0.009142,0.009142
28,6639.18,0.4626,0.2569,0.77336,0.9759,0.98091,0.98966,0.76604,0.9145,0.39006,0.79667,0.009109,0.009109,0.009109
29,6876.93,0.45855,0.25535,0.77423,0.97581,0.98108,0.98971,0.76733,0.91186,0.38859,0.7966,0.009076,0.009076,0.009076
30,7115.97,0.45261,0.25209,0.7739,0.97459,0.98279,0.98974,0.76818,0.90907,0.38719,0.79649,0.009043,0.009043,0.009043
31,7355.56,0.44542,0.24962,0.7736,0.97499,0.98269,0.98975,0.76902,0.90807,0.38683,0.79628,0.00901,0.00901,0.00901
32,7595.59,0.44119,0.24752,0.77277,0.97502,0.98248,0.9898,0.77074,0.90433,0.38583,0.79657,0.008977,0.008977,0.008977
33,7834.12,0.43823,0.24524,0.77303,0.9738,0.98364,0.98981,0.77165,0.89994,0.38471,0.79649,0.008944,0.008944,0.008944
34,8067.07,0.4368,0.24464,0.77203,0.97358,0.98407,0.98978,0.77158,0.90008,0.38456,0.79635,0.008911,0.008911,0.008911
35,8301.68,0.43007,0.24223,0.77134,0.97484,0.98385,0.98987,0.77094,0.9018,0.38424,0.79631,0.008878,0.008878,0.008878
36,8537.16,0.42764,0.24045,0.77121,0.97461,0.98385,0.98994,0.77065,0.90393,0.38498,0.79639,0.008845,0.008845,0.008845
37,8775.24,0.42538,0.23929,0.77049,0.97455,0.98424,0.98995,0.77144,0.90045,0.38357,0.79615,0.008812,0.008812,0.008812
38,9015.93,0.41963,0.23651,0.77148,0.97475,0.98415,0.98994,0.77318,0.89594,0.3824,0.79593,0.008779,0.008779,0.008779
39,9254.73,0.41872,0.23415,0.7708,0.97703,0.98247,0.99002,0.77416,0.89394,0.38175,0.79575,0.008746,0.008746,0.008746
40,9495.3,0.41584,0.23516,0.77111,0.97676,0.98231,0.99005,0.77627,0.88572,0.37901,0.79543,0.008713,0.008713,0.008713
41,9739.26,0.41544,0.23427,0.77186,0.97677,0.98279,0.99011,0.77783,0.88039,0.3763,0.79532,0.00868,0.00868,0.00868
42,9987.8,0.41517,0.23425,0.77092,0.97667,0.9829,0.99014,0.77953,0.87572,0.37439,0.79508,0.008647,0.008647,0.008647
43,10231.5,0.40841,0.23027,0.77055,0.97688,0.98296,0.99016,0.78144,0.86907,0.3727,0.79499,0.008614,0.008614,0.008614
44,10476.3,0.40672,0.22912,0.77108,0.97699,0.9829,0.99017,0.78317,0.86434,0.37123,0.79487,0.008581,0.008581,0.008581
45,10723,0.40719,0.22969,0.77037,0.97714,0.9829,0.9901,0.78471,0.85937,0.36899,0.79479,0.008548,0.008548,0.008548
46,10967.8,0.40719,0.22964,0.77062,0.97768,0.98199,0.99008,0.78603,0.85409,0.3671,0.79442,0.008515,0.008515,0.008515
47,11214.1,0.4048,0.22865,0.77069,0.9778,0.98245,0.99006,0.78797,0.84803,0.36502,0.79403,0.008482,0.008482,0.008482
48,11459.6,0.40036,0.22525,0.77085,0.97815,0.98279,0.99007,0.78941,0.84359,0.36288,0.79402,0.008449,0.008449,0.008449
49,11706.7,0.40291,0.22719,0.76973,0.97832,0.98281,0.99008,0.7897,0.8422,0.36264,0.79389,0.008416,0.008416,0.008416
50,11950.4,0.39887,0.22583,0.77045,0.97868,0.98258,0.99007,0.79075,0.83849,0.36149,0.79374,0.008383,0.008383,0.008383
51,12196.5,0.39806,0.2246,0.7692,0.97824,0.98311,0.99005,0.79112,0.83587,0.36038,0.79349,0.00835,0.00835,0.00835
52,12440.6,0.39432,0.2231,0.76892,0.97864,0.983,0.99,0.79205,0.83085,0.3579,0.79342,0.008317,0.008317,0.008317
53,12683.8,0.39255,0.22247,0.76961,0.97885,0.98311,0.98997,0.79287,0.8292,0.35716,0.79364,0.008284,0.008284,0.008284
54,12927,0.39516,0.22308,0.76971,0.97896,0.98351,0.98998,0.79337,0.82821,0.3563,0.79376,0.008251,0.008251,0.008251
55,13171.8,0.38853,0.2203,0.76928,0.97905,0.98291,0.98995,0.79414,0.82585,0.35573,0.79383,0.008218,0.008218,0.008218
56,13417,0.39139,0.22199,0.76905,0.97903,0.9829,0.98986,0.79339,0.8255,0.35588,0.79361,0.008185,0.008185,0.008185
57,13655.4,0.38953,0.22117,0.76859,0.97905,0.98295,0.98981,0.79431,0.82221,0.35468,0.79321,0.008152,0.008152,0.008152
58,13892.8,0.38839,0.21836,0.76876,0.97824,0.9838,0.98984,0.79595,0.81714,0.35224,0.79272,0.008119,0.008119,0.008119
59,14129.4,0.38535,0.21755,0.76887,0.97882,0.98364,0.98976,0.79675,0.8138,0.35113,0.79237,0.008086,0.008086,0.008086
60,14375.8,0.3829,0.21736,0.76869,0.97844,0.98407,0.98977,0.79793,0.80776,0.34946,0.79199,0.008053,0.008053,0.008053
61,14619.4,0.38312,0.21637,0.76802,0.97848,0.98396,0.98977,0.79824,0.80657,0.34825,0.79193,0.00802,0.00802,0.00802
62,14865.7,0.37962,0.21493,0.76904,0.97974,0.98269,0.98971,0.79851,0.80384,0.34728,0.79175,0.007987,0.007987,0.007987
63,15112,0.38408,0.21676,0.769,0.97993,0.98258,0.98974,0.79913,0.8024,0.34656,0.79161,0.007954,0.007954,0.007954
64,15361.4,0.38059,0.21457,0.76871,0.97979,0.98339,0.98978,0.79935,0.80173,0.34508,0.79144,0.007921,0.007921,0.007921
65,15606.2,0.37755,0.21387,0.76814,0.98014,0.98332,0.98984,0.79992,0.8007,0.34386,0.79136,0.007888,0.007888,0.007888
66,15855.9,0.3766,0.21271,0.76873,0.98014,0.98343,0.98991,0.8011,0.79449,0.34151,0.79116,0.007855,0.007855,0.007855
67,16100.2,0.37705,0.21347,0.7687,0.97989,0.98333,0.98989,0.80204,0.79116,0.34147,0.7909,0.007822,0.007822,0.007822
68,16347.1,0.37454,0.21171,0.76817,0.98017,0.98322,0.98986,0.80212,0.78895,0.34056,0.79074,0.007789,0.007789,0.007789
69,16598,0.37369,0.21098,0.76957,0.98047,0.98258,0.98987,0.80213,0.79005,0.34093,0.79074,0.007756,0.007756,0.007756
